,X.1,X,AA,Segment,duration,intensity,cog,sdev,skew,kurt,Speaker,keyword,Variety,Stress
1863,1863,1863,1863,n,82.16651695,56.53251081,529.3857671,342.1794641,26.5086645,1035.376729,s24,sani1,AG,Stressed
1864,1864,1864,1864,n,90.27374592,59.7380914,485.9622046,193.6007825,30.21918444,1268.034836,s24,sani1,AG,Stressed
1902,1902,1902,1902,n,85.58183222,56.35799465,532.3877867,433.0661719,19.53544047,564.4300011,s24,sani,AG,Stressed
1903,1903,1903,1903,n,74.40745118,59.83600126,545.3799619,458.3575004,20.81135918,629.6538975,s24,sani,AG,Stressed
2254,2254,2254,2254,r,24.5975838,50.75716618,1108.514881,781.1632936,9.28488566,162.7719245,s24,rasa1,AG,Unstressed
2255,2255,2255,2255,r,20.88726008,58.17206787,1031.395197,1179.786683,9.579533914,124.322673,s24,rasa1,AG,Unstressed
2294,2294,2294,2294,r,17.69543123,53.16692208,1454.770507,1761.429033,6.783025062,57.28596927,s24,rasa,AG,Stressed
2331,2331,2331,2331,r,42.01093137,55.53644511,1232.915299,1758.599305,6.954594232,58.55451857,s24,risa1,AG,Unstressed
2332,2332,2332,2332,r,23.85744745,53.10716186,1031.702654,1253.663115,9.093276544,106.2996785,s24,risa1,AG,Unstressed
2371,2371,2371,2371,r,21.27117681,49.8285201,891.7111962,1059.309655,7.036150468,89.05458548,s24,risa,AG,Stressed
2372,2372,2372,2372,r,32.21438663,63.86587141,1250.71417,1489.283353,8.068064611,80.9452164,s24,risa,AG,Stressed
2411,2411,2411,2411,r,20.80026476,61.95334509,835.7528202,794.8317222,15.01581786,293.7932348,s24,sara1,AG,Stressed
2412,2412,2412,2412,r,16.03540258,50.81667628,955.1036855,978.1707724,12.2596631,193.2410963,s24,sara1,AG,Stressed
2451,2451,2451,2451,r,22.68034608,58.22438619,930.2319831,701.8445864,15.65432256,334.5727476,s24,sara,AG,Stressed
2452,2452,2452,2452,r,18.88039336,51.77068603,1196.521293,1250.305959,5.906656693,58.96813008,s24,sara,AG,Stressed
